id,type,text1,text2,text3,text4,notes
rebelrats_porcellus,SHIP,"Bristling with weaponry and cladded in thick composites, the Porcellus is the most common capital ship found in Krysan Federal Navy battlegroups. In the ship's hangars, the Porcellus carries a pair of skiffs that can conduct rapid military insertions, or act as PD screens during engagements. While the ship has been primarily designed to be a mobile artillery platform, it is readily equipped to host commanders and admirals as command centers for fleet engagements

The Porcellus was designed by the Arms and Armor Conglomerate and built in the massive orbital berths of Kaharian Naval Steelworks. Being based off of a venerable design in the old days of the Empire, the prototype model initially lacked effective PD coverage and long-ranged weaponry, but design improvements such as additional PD mounts and the installation of new technologies brought by the development of the Mobile Defence Doctrine made the Porcellus one of the safest ships in during battles.


At the ship’s core, four Barkley-Pattern Heavy-Duty AM-catalysed flux reactors are responsible for powering the ship’s Basilica-Model shield generator and its set of four massive H303 Torch Drives and two secondary H302 Torch Drives. 
",,,,
,,,,,,
rebelrats_marmot,SHIP,"Marmot cruisers form the backbone of Krysan formations. The ship’s set of weapon mounts and hangars means that the ship can fill most roles that its captain may require. But most importantly, a Marmot allows captains to bring station-grade weaponry to engagements, making it a credible threat even in larger battles.

Designed by Veronica Witherfield, the Head Engineer of Rebel Rats, the Marmot is designed to fill out a multitude of roles in the field from squadron leader in flotillas, to acting as fire-support platforms in fleet battles. Veronica and Federal Navy officials came together and designed the ship with the Mobile Defence Doctrine in mind, giving the ship the needed structure and flux systems to handle the operation of the Doldrums Superheavy Railgun.

The ship became notable during the Siege of Nutria against a large pirate armada hailing from the Persean Sector. Using the Doldrums, Marmots were able to lift the siege and chase the fleeing pirates back to the jump point with minimal losses. The battle would prove the viability of the Mobile Defence Doctrine to Krysan High Command against hostile Persean Sector elements.

Equipped with two M405 Torch Drives, the Marmot can easily manoeuvre around the battlefield to take advantage of opportunities. For generating power, the ship uses two Barkley-Pattern Heavy-duty AM-catalysed Flux Reactors that power the ship’s torch drives and dual shield generators while a single Bobcat-Pattern Flux Reactor powers non-critical systems and acts as a secondary backup in the extremely unlikely case of dual reactor failure.
",,,,
rebelrats_jerboa,SHIP,"The Jerboa the main warship of the Krysan Special Espionage Command and is used as a unit's headquarters to covertly conduct surveillance and reconnaissance operations on points of interest. To do so, the ship employs a multispectral approach of redundant layers of stealth composites, coolants, heatsinks, and flux management systems to reduce sensor detection range. During ship-to-ship engagements, Jerboas will use its railgun to surprised unknowing captains and equalize the field of battle.

While total stealth was deemed to be impossible prior to the discovery of Persean Sector technology by Krysan scientists, making a vehicle less visible to sensors has always been done, even in space. With this in mind, the Jerboa has earned a reputation for startling unaware ship captains, gaining the nickname of ""Dreadship"" for its ungainly stealth optimized appearance. Jerboa crews often tether themselves to asteroids or large bodies to better mask its presence and to be able to dump stored heat into the larger body.

Built by The Three Brothers Corporation, the Jerboa is designed with extreme concealment in mind. The ship utilizes so called ""Black Rat"" stealth composites as a multispectral camouflage to reduce its sensor profile while thermal manangement systems work in tandem to reduce thermal detection through the redirection and storage of heat through massive heatsinks.

The ship uses two heavily modified M503 Torch Drives fed by three hypercooled Sleipnir-Pattern flux reactors. Apart from its use of stealth composites, the Jerboa also runs extensive hull thermal management systems to hide it in the infrared spectrum, often storing waste heat in its 2 massive internal heat sinks that recycle the heat to power auxiliary systems until the ship can dump it out safely away from prying eyes.
",,,,
rebelrats_matkaboska,SHIP,"Despite lacking the mountings for a Doldrums, the Matka Boska makes up for it with heavy firepower and protection. The ship has a solid reputation for keeping its crew safe during heavy engagements thanks to its armor layout. Due to this apparent hardiness, the ship has become a favorite for officers to use as frontline command ships.

The Matka Boska was unfortunately conceived right before the beginning of the Mobile Defence Doctrine development. Due to this, the ship received neither suffiecient mountings nor sufficient reactors to accommodate the energy need of a Doldrums. Instead, the ship relies on thick slabs of frontal ablative armour and an arsenal of missiles to even out peer to peer fights.

The base design of the ship predates that of the Marmot and resembles that of archaic Krysan warships which Rebel Rat engineers took design cues from. Due to this, the Matka Boska not only boasts heavier armour than its contemporaries, but also better structural integrity and hardier citadels that effectively keeps its crew safe during engagements.

The ship is equipped with two Barkley-Pattern AM-catalysed flux reactors to power its singular H305 Torch Drive and its Basilica-Model shield generator. Multiple redundant subsystems are in place to make sure that the ship can get the crew back to safety including extensive escape skiff bays.
",,,,
rebelrats_steersman,SHIP,"The Steersman is an armoured cruiser built in belter shipyards meant to escort belter trade convoys from increasing pirate threats. The ship sports Poubelle Torpedos along its racks for anti-ship usage while an embrasure for a large weapon mount can be seen on its armoured nose.

A direct evolution from the Helmsman, the Steersman is a more serious take by Belters in creating a functional belter-made warship. Massive rivets dot the ship's hull alluding to the robust belter engineering and an armoured door hangs over the hangar for protection. Despite its firepower and armour, the ship can still falter to pressure from professionally made warships if care is not given in battle.

Hailing from the docks of the Asteroid Central Station, the Steersman represents the Belter's will to be true independents and its ultimate wish to remove piracy within its space. The ship was built to counteract the growing levels of piracy when pirates from the Persean Sector brought ever heavier ships and weapons to raid Belter space.

Its onboard fusion torch is a design derived from the most successful Helmsman homebrewed fusion torch drive nicknamed the Mammoth Fusion Torch. At its core, three Bobcat-Pattern flux reactors power the ship's onboard systems and torch drive.",,,,
,,,,,,
rebelrats_mellivora,SHIP,"Though thin skinned and lightly armed, the Mellivora provides a sufficient amount of strikecraft cover with its high-capacity hangars. During battles, it relies on its blistering speed and ample fighter coverage to strike opponents as its armaments is, at best, comparable to that of a frigate.

Realizing the need for a high mobility light carrier, Krysan High Command commissioned Arms & Armor to design the light carrier as the company possesses the most experience with designing carriers. This resulted in a quick turnover time with the ship's design and development and saw no major issues during its field tests.

With the ship's interiors being relatively new in design with numerous automated systems in place, sleep spaces in the Mellivora offer more privacy and headspace to its crew despite space restrictions. Unfortunately, onboard amenities such as the kitchen galley and commissary had to be reduced to maximize the remaining crewed space in the ship.

The ship is equipped with 4 M505 Fusion Torch Engines and is powered with the latest model flux reactors. Despite the Mellivora’s size, its onboard hangar facilities are comparatively more spacious for its designed capacity than on bigger Federal Navy ships such as the Marmot and Porcellus, increasing crew comfort during carrier operations.
",,,,
rebelrats_monax_p,SHIP,"Taking advantage of the Monax's commonality, pirates have retrofitted this Monax with snaking munition belts and homebrewed armor plates. What used to be its cargo bay has been replaced by hangar bays and its shuttle bays turned into concealed missile tubes. The extensive upgunning and uparmouring of the hull has earned it the light cruiser classification within Federal Navy records.

While at a glance, two Monax(P)s are seemingly alike, the lack of standardization with the pirate modifications of Monax(P)s means that no two ships are completely the same. One Monax(P) may sport slightly thicker armor while another may be having larger flux batteries as personal requirements differ from one captain to another.

Despite extensive upgrades to the hull, Any pirate captain, experienced enough, knows that the ship is never able to fight peer to peer enemy ships; with its lackluster flux reactor core and jury-rigged shield module, any Monax(P) can easily falter to dedicated enemy fire.
",,,,
rebelrats_rattus,SHIP,"The Rattus is an ancient design that predates the Krysan Federal Navy. Outdated, the design would be given a deep upgrade package by Rebel Rats, giving the ship updated subsystems and brand new Arms & Armor railguns. This upgrade would allow the Rattus fighting toe to toe against Persean Sector ships, predominantly during the First Contact Scuffle where misunderstandings between the Krysans and the Hegemony would lead to a brief conflict.

The Rattus was instrumental during Penance Day when disillusioned captains and nobles led a massive rebellion against the Krysan Empire. The conflict would last 8 long years and culminate in the dissolution of the Krysan Empire and the formation of the Federated States of Krysa. During the rebellion, it would slowly become a symbol of heroes, adventure and freedom among the youth and young captains.

Following the principles of thrust-gravity oriented design, the Rattus has a narrow hull with a vertical layout, leading to a smaller front cross section that allows Rattus captains to minimize the chances of the enemy landing a hit, though to the disdain of crewmembers needing to navigate up and down the ship’s tight vertical spaces with steep ladders.
",,,,
rebelrats_helmsman,SHIP,"Despite its makeshift appearance, the Helmsman’s barebones design gives it outstanding agility with its outrigged RCS thrusters. Its onboard shield generator was ripped off of a salvaged Monax cargo ship and tuned to the size of the Helmsman. Despite this, the ship is adequately armed for its size but can’t handle similarly sized ships that have proper flux cores installed.

With captains that can only be described as desperate daredevils with no regard for their own indemnity, the Helmsman can be manually constructed in the hands of any person desperate enough with the wanderlust for star travel or piracy. Its interior spaces are cramped and reminiscent of ancient planetary submersibles with parts of the crew sleeping in cramped bunks with very little headroom or privacy. 

Its fusion torch engine is homebrewed from a frankenstein of parts while its flux reactor is usually a Bobcat-Pattern Flux Reactor taken from a salvaged Monax.
",,,,
rebelrats_sorex,SHIP,"Considered unconventional in Krysan Admiralty for its lack of missile mounts, nevertheless, the Sorex is a capable destroyer with respectable forward firepower. They are often paired with another ship to make up for its lackluster point defence grid so that it can focus on anti-ship duties. The ship's autoloaders ensures that its weapons will engage at the max rate of fire. Its respectable level of protection will let it weather through scuffles.

Despite being overshadowed by the Rattus for its unwieldiness and its late introduction just after the Penance War, the Sorex has a reputation for being a comfortable ship by its crews as it has been designed around crew ergonomics. The ship was expected to perform long duration patrols or intermittent deep space anti-piracy missions. 

Unlike the Rattus, Sorex crews enjoy roomier and more modern accommodations with several quality of life measures taken for crew comfort, making it popular for captains who seek to enjoy picket duty in comfort. Its onboard galley is regarded to be like a hotel with its homely decorations and lighting acting as a third place for crew to get together in their free time.",,,,
,,,,,,
rebelrats_mus,SHIP,"Bearing unparalleled speed and brash firepower, the Mus is a menace on the battlefield when left unattended. The ship’s built-in plasma launchers and torpedo tubes allow it to spar with larger ships while its new S601 Fusion Torch gives it the speed to easily keep up with enemy frigates. However, this emphasis on movement meant that armor had to be sacrificed, leaivng the Mus with paper thin armor.

Rebel Rat Industries created the Mus to serve alongside the Rattus as its escort. As the newest addition to the Krysan Federal Navy, the Mus enjoys better shield generators that are more efficient at taking shots and provides wider coverage than older shield models.

Despite being a recent addition, the Mus quickly became a common sight along Krysan trade routes as a pursuit ship against any roving pirate ship.
",,,,
rebelrats_patron,SHIP,"A corvette built to provide PD coverage for warships, the Patron uses its bow mounted Felis LAWS to quickly sweep through fighter formations. Ironically, due to its diminutive size, the Patron is vulnerable to being overwhelmed by fighters due to the Felis LAWS’ limited firing arc.

Created by Arms & Armor, there was no expenses spared in the creation of the Patron. The interior has been carefully modelled to house the 4-man cockpit crew as comfortably as possible. The designers included a dedicated galley for the crew, which, as small as it is, goes a long way during long voyages for crew comfort. Unfortunately, its small size meant that the vessel has little in the way of protection, being comparable to armoured fighter craft.

The corvette is one of the few deep space capable ships that still maintains older-type fusion engines, that being two XS801 Pion Pulse Fusion Engines. The ship’s energy is maintained by a side mounted Minuitoid-Pattern flux reactor, a fairly recent development in the miniaturization of Flux Reactor technology.
",,,,
rebelrats_musrattus,SHIP,"An experimental ship designed to maximize elements of the Mobile Defence Doctrine, the Mus Rattus is an advanced frigate built around a small Doldrums Railgun and bleeding edge fusion drive tech. Recent advances in the miniaturization of Krysan technology allowed its designers to fit all the necessary components to fire the Doldrums without needing to shut down subsystems.

Despite miniaturization of ship technologies and subsystems, sacrifices had to be made as evident by the ship's cramped accommodations and amenities. This means that the ship has to be flown together with larger spacious ships during long-term deployments to sustain ship operations.",,,,
,,,,,,
#LOGISTICS SHIPS,,,,,,
rebelrats_pybara,SHIP,"The penultimate cargo carrier of the Naval Logistics Fleet, the Pybara's built around the relatively new Super Heavy Containers to satisfy the increasing needs of Krysan Federal Navy. Uniquely, its size can be attributed to the hull being designed around a Daedalus-type fusion torch that utilizes features inspired by acquired Persean Sector technology.

Developed in conjuction with the Fleet Logistics Improvement Program, the Three Brothers Corporation was tasked with the designing of a new heavy logistics ship based on the newly developed Super Heavy Containers that was supposed to speed up cargo turnover times. While the project was successful, the limited amount of docks that can accommodate the new line of ships and its rarer Daedalus-type engine prevented the Pybara from becoming the new system standard for fleet cargo carriers.

Despite unfortunate shortcomings, Pybara captains and crew enjoy more spacious accommodations than the smaller Monax thanks to extensive automation and additional onboard facilities its fighter detachment. Pybaras feature a couple of people mover cars along its spines to quickly shunt people and materials around to the delight of onboard off-duty crew and pilots.

At its core, the Pybara hosts a single Camel-Pattern Flux Reactor to power the large H101D Daedalus-type Fusion Torch while two Minuitoid Flux Reactors are responsible for powering the ship's various subsystems.",,,,
,,,,,,
rebelrats_monax,SHIP,"The Monax is the workhorse of the Naval Logistics Fleet with its ample cargo holds and extensive salvaging equipment. Nothing on the ship’s base model is underutilized or an embellishment, every part of the Monax is designed to be easily interchangeable to fit the user’s needs while its cargo holds have been maximized to carry as many cargo units as possible with its powerful torch drive. 

The freighter is a collaboration between Kaharian Naval Steelworks and Jerel’s Fuel Haulers, now called the Three Brother's Corporation after merging, in an attempt to standardize Krysan cargo hauling. The project, being hugely successful, made the Monax the most common freighter to be seen flying in Krysan trade fleets. The Monax’ ubiquity and focus in standardization in Krysan cargo fleets created a barter economy that revolved around trading parts and also allowed dedicated businesses that are solely created for servicing Monax freighters.

The ship is equipped with an M405 Torch Drive that has been factory tuned for maximum efficiency and is hooked up to a single Bobcat-Pattern Flux Reactor.
",,,,
,,,,,,
rebelrats_panya,SHIP,"Despite its size, the Panya is more than capable of supporting local economies and small commerce fleets. Due to this, Federal Navy officers took interest in the ship's potential to extend the deep space endurance of flotillas as the ship was essentially nothing more than a few modular cargo holds with a fusion torch attached on its back. Like the Persean Sector's Buffalo, the Panya relies on escorts to carry it through its journeys safely.

The ship found its origins as a cheap solution to solving the shortage of service shuttles large enough to meet the growing demands of station constellations in Dragon's Blessing. Overtime, the Panya was able to grow out a niche of being the first choice for upcoming Krysan starfarers looking for a cheap cargo ship that demanded little maintenance.

With its diminutive size, the Panya's interiors can only be described as utilitarian and more akin to that of terrestrial cargo ships with individual cabins to host its measly number of crew. Fortunately for the crew, the ship utilizes extensive automation to ease the level of workload, meaning that onboard accommodations are more spacious than its larger brothers.

The ship is equipped with a Lynx-pattern flux reactor to power its systems and a single M303 Fusion Torch tuned down for efficiency.",,,,
rebelrats_rott,SHIP,"The Rott is a humble fuel tanker that can be compared to the Persean Sector's Dram. The Rott has enough fuel in its tanks to double the fuel range of a Federal navy flotilla. As such, the ship is often seen paired together with Panyas or other cargo haulers to extend the range of Krysan Expeditions.

The ship was initially conceived by The Three Brothers Corporation as a way to address the lack of standardization within the grassroots level of Krysan space economy. With its barebones structure and open truss structure, the Rott can easily be configured by any captain to their taste without the need for specialized tools.

Like the Panya, the interior of the Rott is utilitarian with little luxuries to speak of. Although, with onboard automation, Rott crews can expect at least a modicum of comfort as indicated by spaceworthy assurance laws with onboard accommodations created using mass-produced ""Unit Rooms"". This meant entire rooms can be easily renovated or replaced, assuring Rott captains that their ship accommodations can be easily updated.

The ship runs with a Lynx-Pattern flux reactor to power and systems while a pellet-fed DAEDALUS-type engine ensures efficient fuel consumption. ",,,,
,,,,,,
#SHIP SYSTEMS,,,,,,
rebelrats_jerboaSystem,SHIP_SYSTEM,Overwhelms the target using the ship's extensive EW systems. Disables enemy turret rotation | Reduces enemy ship turning | Disables enemy engines,Offensive,Disables the enemy ship's weapon rotation and engines and thrusters.,,
rebelrats_lockjaw,SHIP_SYSTEM,Power for shields are diverted into weapon capacitors while Composition HEP is injected into shell canisters. Increases weapon damage by 50% | Increases range by 30% | Generates hardflux | Disables shields | Disables venting,,,,
,,,,,,
